id,group,price,company,date,tag,ser_id,discount,Name,Positive,Negative,Rating,Current,24h Peak,All-Time Peak
596650,71,0.0,Panoramik inc,2017,6815,0,0.0,Tap Adventure: Time Travel,516,252,0.6486,32,40,"2,933"
599460,8,6.99,INDIECN,2017,3964,0,1.0,Weapon Shop Fantasy,918,221,0.7692,48,88,"1,607"
601430,8,59.99,Bethesda Softworks,2017,3978,0,0.0,The Evil Within 2,"9,306",829,0.8922,139,232,"9,918"
602960,32,25.49,Daedalic Entertainment,2019,4667,0,0.0,Barotrauma,"1,156",236,0.7931,109,238,"1,703"
603700,31,14.99,XGen Studios,2017,6815,0,0.0,The Low Road,92,25,0.7182,1,2,19
610310,70,14.99,EvilCoGames,2017,6815,0,0.0,Star Story: The Horizon Escape,126,22,0.7734000000000001,,,
619930,8,2.44,Grey Alien Games,2017,4726,0,0.0,Spring Bonus,12,1,0.7319,,,
626610,8,39.99,Bigben Interactive,2018,198913,0,1.0,TT Isle of Man,530,227,0.6729,10,44,468
636070,24,0.79,Mass Creation,2018,4604,0,0.0,Corridor Z,9,2,0.6676000000000001,,,
636070,24,0.79,Mass Creation,2018,4667,0,0.0,Corridor Z,9,2,0.6676000000000001,,,
640820,70,39.99,Deep Silver,2018,4345,0,0.0,Pathfinder: Kingmaker,"7,535","2,652",0.7248,"2,230","4,487","22,643"
641080,8,24.99,Ubisoft,2019,123332,0,1.0,Trials Rising,555,424,0.5585,47,137,"1,760"
643590,8,20.99,WISECAT,2017,7038,0,0.0,Everyday Golf VR,20,14,0.5579999999999999,,,
647960,8,4.99,Corroding Games,2017,3964,0,1.0,Rusted Warfare - RTS,629,27,0.8937999999999999,27,40,86
661790,81,7.59,Andrii Vintsevych,2018,3978,0,1.0,Witch Hunt,804,102,0.8375,3,12,96
661940,8,4.99,Powerhoof,2018,1746,0,0.0,Regular Human Basketball,115,7,0.8387,,,
663370,8,2.99,Ploosh GmbH,2017,4726,0,0.0,The Zwuggels - Beach Holidays,35,1,0.813,,,
663390,8,4.99,LAN - GAMES LTD,2017,1770,0,1.0,Rento Fortune - Multiplayer Board Game,709,675,0.5109,123,384,"3,485"
668430,8,19.99,VertexBreakers,2018,198913,0,0.0,V-Racer Hoverbike,120,13,0.8101999999999999,3,7,12
668840,16,10.39,Mercury Aerospace Industries,2018,4345,0,0.0,Dead Moon - Revenge on Phobos,7,7,0.5,,,
670290,8,0.0,ThankGame.com,2017,17927,0,0.0,Real Pool 3D - Poolians,821,272,0.7206,40,92,491
